# wavelength_um,flux_ratio
4.623478e-01,4.366982e-10
4.628104e-01,4.363394e-10
4.632734e-01,4.359796e-10
4.637369e-01,4.356179e-10
4.642009e-01,4.352570e-10
4.646653e-01,4.349003e-10
4.651302e-01,4.345440e-10
4.655956e-01,4.341775e-10
4.660614e-01,4.337762e-10
4.665277e-01,4.334060e-10
4.669945e-01,4.330008e-10
4.674617e-01,4.325982e-10
4.679294e-01,4.322121e-10
4.683976e-01,4.317962e-10
4.688662e-01,4.311924e-10
4.693353e-01,4.306827e-10
4.698049e-01,4.300000e-10
4.702749e-01,4.299200e-10
4.707454e-01,4.294207e-10
4.712164e-01,4.286636e-10
4.716879e-01,4.281932e-10
4.721598e-01,4.277181e-10
4.726322e-01,4.271616e-10
4.731050e-01,4.264955e-10
4.735784e-01,4.259216e-10
4.740522e-01,4.253072e-10
4.745265e-01,4.245569e-10
4.750013e-01,4.237897e-10
4.754765e-01,4.228723e-10
4.759522e-01,4.219042e-10
4.764284e-01,4.210643e-10
